"Titel";"ISBN";"Verfasser";"PPN";"Jahr" 
"Völkermord statt Holocaust : Jude und Judenbild im Literaturunterricht der DDR ; ein Nachlesebuch";"9783937751399";"Matthias Krauß";"539897078";"2007";
"Mit Kindern kommt Gott ins Haus : wie religiöse Erziehung gelingt";"9783796613456";"Christiane Bundschuh-Schramm";"1608525341";"2007";
"¬Une¬ mère face à l'école : l'autorité, les abus, trouver un juste équilibre";"978-2-913492-47-9";"Josiane Blanc";"1609523474";"2007";
"Littérature de jeunesse : [le manuel]";"978-2-7117-2591-5";"Anne Delbrayelle; Manuelle Duszynski";"1344292488";"2007";
"Counting on grace : [a novel]";"978-0-553-48783-1";"Elizabeth Winthrop";"1609527593";"2007";
"Aufstieg und Krise der "Generation Schröder" : Einblicke aus vier Jahrzehnten";"9783894722852";"Heinz Thörmer; Edgar Einemann. Mit zwei Beitr. von Rolf Wernstedt";"522152236";"2007";
"Pubertät - eine Gebrauchsanweisung";"9783451058318";"Michel Delagrave";"522204937";"2007";
"Wege zur Spitze - Karriereentwicklung von Eliten : Reader zum Sportgespräch/21. internationaler Workshop am 12. und 13. Juni 2006 in Mülheim a.d. Ruhr; im Rahmen des Landesprogramms: "Talentsuche und Talentförderung in Zusammenarbeit von Schule und Verein/Verband" im Sportland Nordrhein-Westfalen";"9783898993203";"Joachim Mester ... (Red.). Veranst.: Inneministerium des Landes Nordrhein-Westfalen und des LandesSportBund NRW. In Zusammenarbeit mit: Sportstiftung NRW ...";"160714283X";"2007";
"Kinder fördern, Eltern entlasten : eine gemeinsame Aufgabe von Kindertageseinrichtungen und Kindertagespflege? ; Dokumentation der Fachwoche 2006";"393338317X";"Hrsg. Verband Katholischer Tageseinrichtungen für Kinder. Johanna Meißner ..";"526952709";"2007";
"Schule macht Geschichte : 175 Jahre Volksschule im Kanton Zürich 1832 - 2007";"9783037132296";"Martin Lengwiler; Verene Rothenbühler; Cemile Ivedi";"547653999";"2007";
"Sally : ein Lehrwerk für den Englischunterricht ab Klasse 3. - 3, Schülerbuch.";"9783486000818";"";"1337492965";"2007";
"Schulfach Religion : SchR - Evangelisches Schulprofil - 25 Jahre Schulfach Religion. - 26,1/2";"9783700007029";"";"1605814946";"2007";
"Feuer im Blut : Roman";"3407740530";"Boris Koch";"529499398";"2007";
"Lern- und Arbeitstechniken im Deutschunterricht : Schritt für Schritt Lernkompetenz entwickeln ; mit Kopiervorlagen ; [5. Klasse ; Sekundarstufe 1]";"3871012726";"Doris Astleitner ; Elisabeth Krassnig ; Gabriele Wehlend";"525489657";"2007";
"Schulklassenbezogene Beratung : ein Erfahrungsbericht aus der Hamburger Beratungslehrerausbildung";"9783939945109";"Alexander Redlich";"1337533556";"2007";
"Erziehung in der Produktion : Jugendbrigaden in der DDR und der Konflikt um die betriebliche Jugendarbeit";"9783836404433";"Tom Strohschneider";"525124144";"2007";
"Passion der Differenz : ein Kaleidoskop von Frauenwelten";"3897412462";"Lisa Schmuckli";"52996404X";"2007";
"Aber ich kann doch gar nicht textil gestalten! : Textilgestaltung unterrichten für "Luftmaschenhäkler"";"9783860727256";"Jakobine Wierz";"587972904";"2007";
"Begleitung der Reform in der Kommunalverwaltung durch Erwachsenenbildung : eine empirische Untersuchung zur Organisationsentwicklung in der öffentlichen Kindertagesbetreuung";"3830917937";"Kerstin Hoffmann-Peck";"527087718";"2007";
"Weltlicher Humanismus : eine Philosophie für unsere Zeit";"9783825885113";"Joachim Kahl";"545568064";"2007";
"Migration und Drogenabhängigkeit : eine vergleichende Studie von türkischen Jugendlichen in Deutschland und in der Türkei";"9783830030768";"Fatma Parla";"1337536253";"2007";
"¬The¬ media : the powers of persuasion. - [Student's book].";"9783526507345";"";"1333269250";"2007";
"Arbeitsaspekte aus Theater - Theorie - Modellen für die theaterpädagogische Spielleiter-Praxis";"3825805468";"Enrico Otto";"53205184X";"2007";
"Bildung in evangelischer Verantwortung : Profilentwicklung in Kindertageseinrichtungen";"9783877076996";"Frieder Harz";"820946761";"2007";
"Ravensburger Kinder-Weltatlas";"9783473551026";"[Übers. aus dem Engl.: Michael Schmidt]";"1609562305";"2007";
"Albert Schweitzer Beiträge für Pädagogik, Schule und Unterricht : [Informationskatalog des Dt. Albert-Schweitzer-Zentrums zu A.S. und seiner Bedeutung für die heutige Pädagogik. Mit einer Zusammenstellung der verfügbaren unterrichtsbegleitenden Materialien ...]";"9783981107913";"hrsg. Dt. Albert-Schweitzer-Zentrum";"1608587010";"2007";
"Wir plus : Grundkurs Deutsch für junge Lerner; Zusatzübungen A1 - B1. - Buch.";"9783126757775";"";"1337572942";"2007";
"Begegnung durch Bewegung : Handbuch für den Unterricht";"978-3-907963-53-1";"Matthias Grabherr; Jenny Pieth";"1608587169";"2007";
"Wien : ein Reisebegleiter";"3458349782";"Susanne Schaber";"522240372";"2007";
"Concept mapping for planning and evaluation";"9781412940283";"Mary Kane and William M. K. Trochim";"51353556X";"2007";
"Untersuchung des Analogieprinzips als innovative Unterrichtsmethode im Fach Religion";"3832261249";"Mohammad Ali Fayazbakhsh";"528377035";"2007";
"Education by numbers : the tyranny of testing";"9781842751992";"Warwick Mansell";"1605903256";"2007";
"Mit Pferden erziehen : wissenschaftliche Begründung und Evaluation des heilpädagogischen Reitens in der Kinder- und Jugendhilfe";"9783836424103";"Rebecca Stoffl";"544007263";"2007";
"Lexikon des Jakobswegs : Personen, Orte, Legenden";"345128877X";"Andreas Drouve";"1607202247";"2007";
"Social construction of meaning by English language learners : learning cultural backgrounds and its impact on students";"9783836424660";"Y·ld·z Turgut";"1608588254";"2007";
"Äpfel fürs Volk";"3-930752-21-2";"Martina Heilmeyer; Clemens Alexander Wimmer. Mit Beitr. von: Gerd Schurig ...";"1604711116";"2007";
"¬Ein¬ Fall für Alex Rider. - [5]. Scorpia";"9783473352708";"Anthony Horowitz. Aus dem Engl. übers. von Werner Schmitz";"1331276608";"2007";
"Kindertheater - Kinderkram : das Bild von Kindertheater in der Öffentlichkeit";"9783832261139";"Ina Gombert";"535233361";"2007";
"Early childhood education : an international encyclopedia. - 4. ¬The¬ countries";"0313341435";"";"1337601616";"2007";
"Grammaire bleue : la grammaire française en 80 leçons";"2-200-35033-3";"Pascale Marson-Zyto; Paul Desalmand. Dessins de Bernard Masson";"58160122X";"2007";
"Basic determinants of specific learning disabilities in reading : experimental exploration of component functions in reading and of deficits in their coordination";"3939432350";"Thomas Lachmann";"528627074";"2007";
"Volkshochschulen als "lernende Organisationen" : Entwicklung eines Anforderungsprofils unter Berücksichtigung theoretischer Ansätze organisationalen Lernens sowie einer innerorganisationalen und einer außerorganisationalen Perspektive";"978-3-8300-3339-4";"Timm C. Feld";"1608588726";"2007";
"Hannah Arendt : Zeitanalyse und politische Theorie";"";"Tonio Oeftering";"1342586441";"2007";
"TheaterSchlachten : das Theaterjahr 2005/06 ; Essays, Reportagen, Porträts, Kritiken, Interviews, Kommentare, Polemiken";"3894875674";"C. Bernd Sucher";"522201032";"2007";
"Tischtennistaktik : dein Weg zum Erfolg";"3898992888";"Klaus-M. Geske & Jens Mueller";"527085316";"2007";
"Professionelle Soziale Arbeit : Science oder Fiction ; eine Untersuchung über das Professionsverständnis der Sozialen Arbeit";"9783037961803";"Tanja Hochstrasser; Rahel Muggli; Prisca Nüesch";"54322869X";"2007";
"Auf den Anfang kommt es an! : Perspektiven zur Weiterentwicklung des Systems der Tageseinrichtungen für Kinder in Deutschland";"978-3-589-25252-7";"Wassilios Fthenakis; Renate Schmidt";"1603598960";"2007";
"Early childhood education : an international encyclopedia. - 3. O - Z";"0313331030";"";"1337601748";"2007";
"Thailand : ein geographischer Exkursionsführer";"9783837002706";"Burkard Richter; Philipp Bürgel";"1608593924";"2007";
"Jugend und Jugendhilfe im Modernisierungsprozess : eine vergleichende Studie über Straßenkinder in Deutschland und Südkorea";"9783830032816";"Woong-Soo Kim";"547382383";"2007";
"Early childhood education : an international encyclopedia. - 2. E - N";"0313331022";"";"1337601802";"2007";
"Wie Sonderschüler fernsehen : das Fernsehen im Alltag von lernbehinderten Jugendlichen und Schülern mit Erziehungsschwierigkeiten ; eine repräsentative Studie für NRW";"382889318X";"Gesine Funke";"528645250";"2007";
"Mathematik heute. - 6, [Schülerbd.].";"9783507836907";"";"1342605853";"2007";
"Early childhood education : an international encyclopedia. - 1. A - D";"0313331014";"";"1337601837";"2007";
"Soziales Lernen bei aggressiven und hyperaktiven Kindern : Entwicklungsbedingungen sozialer Kompetenz";"9783836426756";"Tina Gadow";"1608608867";"2007";
"Wissenschaftsforschung Jahrbuch ... - Wissenschaft und Technik in theoretischer Reflexion. - 2006";"3631555237";"Heinrich Parthey; Günter Spur (Hrsg.)";"525115595";"2007";
"Förderung der sozialen Kompetenz von Kindergartenkindern : Entwicklung und Evaluation eines integrativen Trainings zur Prävention von emotionalen Auffälligkeiten, Verhaltensauffälligkeiten und Beziehungsschwierigkeiten";"9783836444644";"Benjamin Zeller";"160963490X";"2007";
"Aphorismen";"9783538063433";"Friedrich Nietzsche. Ausgew. von Franz-Heinrich Hackel";"1607223260";"2007";
"Wenn die weißen Riesenhasen abends übern Rasen rasen : die schönsten Kindergedichte";"9783836300520";"hrsg. von Ursula Zakis";"527846368";"2007";
"Sämtliche Erzählungen. - 1. Ahnung und Gegenwart : [Text und Kommentar]";"9783618680185";"Joseph von Eichendorff. Hrsg. von Wolfgang Frühwald ...";"1331397111";"2007";
"Project Mulberry";"978-0-440-42163-4";"Linda Sue Park";"1605937312";"2007";
"Schwedisches Kinder- und Jugendtheater : ein Paradigma für das deutsche Kinder- und Jugendtheater seit den 1980er Jahren?";"3828892590";"Stephanie Reinbold";"523894635";"2007";
"[Apologie des Sokrates vor dem Gericht] Xenophons Apologie des Sokrates vor dem Gericht : (deutsch und griechisch)";"978-3-9523212-3-2";"[übertr. in die dt. Sprache von Raphael Baer]";"1337620874";"2007";
"Neue Lernkultur: Entwurf eines integrativen Didaktikmodells (nicht nur) für die berufliche Weiterbildung : Theorie und Praxis einer neuen Lernkultur";"3836444550";"Siegfried Rodehau";"547378718";"2007";
"Philosophische Seitensprünge : Gedanken über Gott und die Welt";"9783800414765";"Rainer Zimmermann";"1607224151";"2007";
"Written documents in the workplace";"9780080474878";"Ed. by D. Alamargot ...";"1609640799";"2007";
"Im Wirbel der Atome : Lise Meitner - eine Frau geht ihren Weg ; ein biografischer Roman";"3780630591";"Thea Derado";"534443141";"2007";
"Phonétique en dialogues : niveau débutant. - Buch.";"2090352205";"";"1331429323";"2007";
"Edspeak : a glossary of education terms, phrases, buzzwords, and jargon";"9781416605768";"Diane Ravitch";"526398701";"2007";
"Lebenswege : Religionsbuch ... Schuljahr; Grundschule Baden-Württemberg. - 1/2, Kommentar.";"9783491784956";"";"1335531580";"2007";
"¬Die¬ Bedeutung des kollektiven Symbol- und Fiktionsspiels für den Erstspracherwerb";"";"Verena Klos. [Universität - GH - Siegen, Fachbereich 3]";"1604789867";"2007";
"Terrorist";"0-14-102784-3";"John Updike";"592718506";"2007";
"Schnittpunkt : Mathematik; kompakt. - 7/8.";"9783127403787";"Rainer Maroska ...";"1331445892";"2007";
"Lebenswege : Religionsbuch ... Schuljahr; Grundschule Baden-Württemberg. - 3/4, Kommentar.";"3491784964";"";"1335531777";"2007";
"Lernsoftware im Unterrichtseinsatz bei hörbeeinträchtigten Kindern : Bestandsaufnahme, Bewertung, Konzeption";"978-3-8364-2546-9";"Madlen Drescher";"540347086";"2007";
"¬Das¬ Zahlenbuch : Mathematik im ... Schuljahr; Programm Mathe 2000. - 5, Übungsheft. Mathematik im 5. Schuljahr Übungsheft";"3-264-83099-X";"";"1345188412";"2007";
"Ungleichheit und Anpassung : zur Kritik der aktuellen Bildungsdebatte";"3930345587";"Klaus Ahlheim";"540318094";"2007";
"Weisheitsbezogene Kompetenzen im schulischen Kontext : eine Grundlage für konstruktives Problemlösen in komplexen sozialen Situationen";"9783836426008";"Kathrin Verena Schneider";"540348376";"2007";
"Educación popular am Beispiel Nicaragua : Paulo Freire als Vorbild für den Cruzada";"3865851436";"Sabrina Heinrich";"543315681";"2007";
"Mütterkriege : Werden unsere Kinder verstaatlicht?";"9783451030055";"Christine Brinck";"528633023";"2007";
"Marathon-Training für Dummies";"352770132X";"Tere Stouffer Drenth. Übers. aus dem Amerikan. von Britta Kremke";"501422668";"2007";
"De l'alcôve à l'arène : nouveau regard sur les Françaises";"9782221098806";"Michèle Sarde";"1609668162";"2007";
"Doppel-Klick : das Sprach- und Lesebuch; für die Hauptschule. - 5, Arbeitsheft A. ¬Das¬ Arbeitsheft : [fit für die Abschlussprüfung]";"9783464608241";"hrsg. von Werner Bentin ... Erarb. von Rebekka Bauer ...";"1335538305";"2007";
"Ecotopia : the notebooks and reports of William Weston";"9783150090305";"Ernest Callenbach. Hrsg. von Klaus Degering";"1605979007";"2007";
"Erstkommunion miteinander vorbereiten : Gottesdienste und Gruppenstunden";"3791720562";"Marcus Lautenbacher";"529970880";"2007";
"Schwierige Nachbarn? : 300 Jahre deutsch-polnische Nachbarschaft ; Groß Neuendorfer Grenzgespräche 2006 ; Vorträge und Diskussionen ; eine Veranstaltung des Landfrauenvereins "Mittleres Oderbruch" e.V. Groß Neuendorf ...";"9783866504202";"hrsg. ... von Wolfgang Michalka ...";"549313435";"2007";
"Kompetenztests für den Deutschunterricht : Lesen - Rechtschreiben - Sprache reflektieren; ... Klasse. - 3/4. 3./4. Klasse";"9783834437990";"Inge Schmidtke";"1345274254";"2007";
"Kinder unserer Zeit : Gewalt unter Kindern und Jugendlichen ; Ursachen und Ansätze zur Prävention";"3981041984";"Ralf Rupp; Ulrich Knoll";"547499469";"2007";
"Täglich 5 Minuten Sprachförderung. - 1/2. 1./2. Schuljahr";"9783834438652";"Lily Gleuwitz ; Kersten Martin";"1345274483";"2007";
"¬Das¬ geschundene Tier : neununddreißig Balladen";"9783498073596";"Martin Walser. Alissa Walser,  Zeichnungen";"160598602X";"2007";
"Geography of Poland";"9788374430432";"T. Krynicka-Tarnacka, G. Wnuk, Z. Wojtkowicz. Translated by Aleksandra Zaparucha";"161010417X";"2007";
"Nachdenken über das Lehren : Vorder- und Hintergründiges zur Didaktik im Schulalltag";"3258072388";"Jürg Schüpbach";"529153491";"2007";
"An den Grenzen der Logopädie";"9783824805297";"[Europa-Fachhochschule Fresenius]. Jürgen Tesak (Hg.)";"529983265";"2007";
"Learning in adulthood : a comprehensive guide";"0787975885";"Sharan B. Merriam; Rosemary S. Caffarella; Lisa M. Baumgartner";"513538135";"2007";
"Kindesvernachlässigung : individuelle und strukturelle Aspekte eines gesamtgesellschaftlichen Problems";"3836430797";"Bianca Faller; Katja Leißner";"547489110";"2007";
"Sozialraumorientierte, flexibel geleistete Erziehungshilfen : Zwei Konzepte in einem Handlungsansatz und die Einstellung der Adressaten dazu";"9783836444842";"Daniela Muschik";"547489218";"2007";
"Ergebnisse, Konzepte und Perspektiven für die Berufsausbildungsvorbereitung : [Entwicklungsinitiative: Neue Förderstruktur für Jugendliche mit besonderem Förderbedarf]";"9783932428531";"[INBAS. Projektleitung: Nader Djafari... Autorinnen und Autoren: Evelyn Borsdorf... Konzept, Gesamtbearb. u. Red.: Petra Lippegaus]";"547479921";"2007";
"Untersuchungen zum Entwicklungsstand von Biologieinteressen von Schülerinnen und Schülern der Sekundarstufe II";"383003296X";"Jörg Dietze";"1609679296";"2007";
"Taking science to school : learning and teaching science in grades K-8";"9780309102056";"Committee on Science Learning, Kindergarten Through Eighth Grade, ... Divisioin of Behavioral and Social Sciences and Education, National Research Council. Richard A. Duschl ..., eds.";"1611551641";"2007";
"Bertolt Brecht, Leben des Galilei";"3425060848";"von Herbert Knust";"1610108795";"2007";
"Lettre ouverte à un fils d'immigré";"978-2-35123-135-7";"Nadir Dendoune";"1604910240";"2007";
"¬Die¬ fünf Tore. - 3. Schattenmacht";"978-3-7855-5885-0";"Anthony Horowitz. Aus dem Englischen übers. von Simone Wiemken";"1345749295";"2007";
"Dictionnaire français - SMS";"9782846300377";"[Ulysse Veyrin-Forrer]";"557356237";"2007";
"Physik in Kindergarten und Grundschule: selbsttätig experimentieren. Staunen, sehen, probieren, fühlen, hören";"3602147819";"hrsg. vom Arbeitgeberverband Gesamtmetall - THINK ING. - Red.: Werner Stetzenbach...";"1609682157";"2007";
"Geschichte erleben. - 4. Von der Industrialisierung bis zum Zweiten Weltkrieg";"9783766146243";"";"1347856757";"2007";
"Sur la route du pays merveilleux : conte sur la banlieue";"2-7480-3415-5";"Zohra Bitan";"160601885X";"2007";
"Zauberwort Sozialberichterstattung : Möglichkeiten und Grenzen der integrierten kommunalen Sozialberichterstattung";"3936328811";"Katharina Kläui. Mit e. Geleitw. von Klaus P. Strohmeier";"543604586";"2007";
"Education as a societal contributor : reflections by Finnish educationalists";"978-3-631-56881-1";"Ritva Jakku-Sihvonen ... (eds.)";"529513951";"2007";
"Überklebt : Plakate aus der DDR ; Ausstellung der Landeshauptstadt Schwerin im Schleswig-Holstein-Haus, 24. August bis 21. Oktober 2007";"3933781590";"Kuratorin, [Katalogred.:] Sylke Wunderlich. [Hrsg.: Landeshaupstadt Schwerin; Schleswig-Holstein-Haus]";"541555960";"2007";
"Von der Sachsenburg nach Sachsenhausen : Bilder aus dem Fotoalbum eines KZ-Kommandanten ; [eine Ausstellung der Gedenkstätte und des Museums Sachsenhausen]";"3938690364";"Günter Morsch (Hrsg.)";"518108031";"2007";
"Faszination Fahrrad : Geschichte - Technik - Entwicklung";"978-3-7688-5253-1";"Pryor Dodge";"528373668";"2007";
"Motivational strategies in the language classroom";"9780521793773";"Zoltán Dörnyei";"559702671";"2007";
"¬Les¬ présidentielles : élire un président sous la Ve République";"2-7006-0469-5";"Pierre Bréchon";"160491193X";"2007";
"Mathe live : Mathematik für Sekundarstufe I. - 6, Lehrerband mit CD.";"9783127203233";"";"1333686226";"2007";
"¬Der¬ Frosch";"341109642X";"[Idee, Ill.: Daniel Moignot. Übers.: Friederike Naroska]";"1333708521";"2007";
"Achtung! Feuerwehr! : [das große Spielbilderbuch von der Feuerwehr]";"9783473313679";"[Konzeption und Ill.: Wolfgang Metzger. Text: Sabine Cuno]";"1604947683";"2007";
"Schule auf Reisen : Exkursionen als Möglichkeit vielseitigen Lernens in der Sekundarstufe II";"978-3-921912-50-8";"Ralph Bähr ... (Hg.)";"1609683498";"2007";
"Saint Ignatius Loyola : letters to women";"9780824524753";"Hugo Rahner ; Ignacio";"1611587379";"2007";
"Hermann Hesse, Unterm Rad";"9783150082003";"von Helga Esselborn-Krumbiegel";"1611590922";"2007";
"Patrick Süskind, Das Parfum";"9783150160183";"von Wolfgang Delseit und Ralf Drost";"1611591007";"2007";
""Mein liebes Seelchen!" : Briefe Martin Heideggers an seine Frau Elfride 1915 - 1970";"9783442737321";"hrsg., ausgew. und kommentiert von Gertrud Heidegger";"532060067";"2007";
"Emancipation und Kindergarten : die Wechselbeziehung zwischen Kindergartenbewegung, Demokratiebewegung und früher Frauenbewegung in der Revolution 1848/49 im Spiegel der "Frauen-Zeitung" von Louise Otto (1849 - 1852) ; Textsammlung";"9783867035453";"Katja Münchow";"544006062";"2007";
"Familien stärken /Strengthening families : Evidenz-basierte Ansätze zur Unterstützung der psychischen Gesundheit von Kindern Evidence-based approaches to support child mental health";"9783931521509";"Hrsg. N. Heinrichs; Hrsg. K. Hahlweg; Hrsg. M. Döpfner";"1606038478";"2007";
"Kleine Diebe - große Probleme? : Jugenddelinquenz und Bewältigungskompetenz";"9783836446709";"Judith Rickers";"548683506";"2007";
"¬The¬ corruption of the curriculum";"978-1-903386-59-0";"Shirley Lawes .... Robert Whelan (ed.)";"1610223675";"2007";
"¬The¬ Cambridge handbook of expertise and expert performance";"0521600812";"ed. by K. Anders Ericsson ...";"57410156X";"2007";
"Tête haute";"9782709628570";"Mémona Hintermann";"1606063057";"2007";
"Gesundheitsförderung/ -bildung als konzeptioneller Bestandteil der Arbeit von Krankenkassen : eine Untersuchung über die Effektivität und Nachhaltigkeit dieser Angebote";"";"Carsten Heinzel";"1342981499";"2007";
"Neugier macht klug : Kinder die Welt entdecken lassen";"345105812X";"Ingrid Leifgen";"522204228";"2007";
"¬An¬ introduction to assessment";"0-8264-9695-4";"Patricia Broadfoot";"1610227220";"2007";
"Wenn Sie mich fragen : Rainer Erlinger beantwortet Fragen der Alltagsmoral";"9783888974694";"Rainer Erlinger";"522166644";"2007";
"¬Ein¬ Netzwerk für die Schule : der einfache Weg zum Schulnetzwerk - mit Microsoft Windows Server 2003 R2";"3833490268";"Johannes Dorfinger";"54602873X";"2007";
"Leben als Konflikt : zur Biographie Alexander Mitscherlichs";"9783835300637";"Martin Dehli";"544245059";"2007";
"Vouchers and public school performance : a case study of the Milwaukee Parental Choice Program";"1932066292";"Martin Carnoy ...";"1610227697";"2007";
"Brain, mind, and human behavior in contemporary cognitive science : critical assessments of the philosophy of psychology";"0773453156";"Jeff Coulter and Wes Sharrock. With a forew. by P. M. S. Hacker";"538550562";"2007";
"Mit Haut und Haaren dabei : der Einfluss von Ton und Bild auf den Medienrezipienten";"9783836414449";"Anika Thorwirth und Katja Vogler";"537463135";"2007";
"Kognitionsforschung 2007 : Beiträge zur 8. Jahrestagung der Gesellschaft für Kognitionswissenschaft";"3832259570";"Christian Frings ... (Hrsg.)";"525880836";"2007";
"Für immer Ja : ein Kurs in Sachen Liebe";"9783629021656";"Dominik Schwaderlapp";"530891034";"2007";
"¬Die¬ zehn Gebote und was sie heute bedeuten : eine Gebrauchsanweisung";"3499622327";"Roland Rosenstock";"52359108X";"2007";
"Übergänge : Personen, Systeme, Politik = Transitions";"9783908262886";"Sylvia Bürkler und Beatrice Kronenberg (Hrsg.)";"55922592X";"2007";
"Marcolini oder wie man Günstling wird";"9783446209053";"Karla Schneider";"527841293";"2007";
"¬Die¬ Sache mit Finn";"3551554994";"Tom Kelly. Aus dem Engl. von Ingo Herzke";"530893029";"2007";
"Nachhaltige Entwicklung - ein (zu) komplexer Inhalt für die Schule?";"9783865832214";"Marieluise Melzer; Rico Emmrich";"1344616496";"2007";
"Transnational und transkulturell : Lebenswege verändern";"9783832266530";"Wolfgang Berg (Hrsg.)";"548677573";"2007";
"¬Die¬ Entwicklung von Scheidungskindern : eine qualitative Studie";"978-3-8364-2407-3";"Nicole Martin";"548697523";"2007";
"Ratekrimis für Superdetektive : [mit spannendem Leserätsel]";"3473362298";"Fabian Lenk. Mit Bildern von Wilfried Gebhard";"529972131";"2007";
"Ich höre was, was du nicht siehst : Musik hören, spüren und erleben";"9783451320880";"Herbert Fiedler";"604494599";"2007";
""Neue Männer braucht das Land!" : Möglichkeiten der Integration von Konzepten der außerschulischen Jungenarbeit in den schulischen Alltag";"9783814220963";"Frauke Schiermeyer; Sylvia Jahnke-Klein";"548274568";"2007";
"Reform der Lehrerbildung in NRW : Tagungsband Forum Lehrerbild 2006";"978-3-934064-71-3";"Jörg Bonnmann ... (Hrsg.)";"1606075055";"2007";
"¬Eine¬ echt verrückte Story : [Roman]";"3-927638-40-4";"Ned Vizzini. Aus dem Amerikan. von Silvia Morawetz und Werner Schmitz";"1608790843";"2007";
"La distinction de sexe : une nouvelle approche de l'égalité";"978-2-7381-0984-2";"Irène Théry";"1610306473";"2007";
"Paderborner Forschungs- und Entwicklungswerkstatt. - 1. Forschungsfragen und -konzepte der beruflichen Bildung";"9783933436863";"";"1344637906";"2007";
"Perspektiven : Akten der ... Tagung Deutsche Sprachwissenschaft in Italien. - 2. Akten der 2. Tagung Deutsche Sprachwissenschaft in Italien : (Rom, 9.-11. Februar 2006)";"";"hrsg. von Claudio Di Meola ...";"1345910703";"2007";
"Effektivität von Gruppenarbeit in Integrationskursen : eine Untersuchung eines stark heterogenen DaZ-Kurses";"3836435004";"Susanne Kreuzig; Maria Zervaki";"548691193";"2007";
"Education, markets and the public good : the selected works of David F. Labaree";"0-415-36994-0";"David Labaree";"161174430X";"2007";
"Moi, j'y crois!";"2-7470-2231-5";"Guillaume Riffaud. Ill.: Blaise Jacob";"1610331303";"2007";
"Zwischen Beliebigkeit und Fundamentalismus : sozialphilosophische Essays zur Orientierungskrise des postmodernen Individuums";"3898962687";"Anselm Vogt";"525491155";"2007";
"Interkulturelle Kompetenz : Förderungsmöglichkeiten für den Englischunterricht an beruflichen Schulen";"9783836447379";"Stefanie Plötz";"548683255";"2007";
"Psychotherapie-Prüfung - Das Aufgabenheft : Fragensammlung mit Antworten";"9783794524969";"Regina  Rettenbach";"1610369637";"2007";
"Authentic texts and real-world activities in the classroom : an approach to improving English language skills";"3-8334-9606-1";"Diana Schmitt-Egner";"551169575";"2007";
"¬A¬ long way gone : memoirs of a boy soldier";"0-374-10523-5";"by Ishmael Beah";"160608321X";"2007";
"¬Die¬ Vorsokratiker";"9783866471542";"neu übers. und hrsg. von Matthias Hackemann";"547393997";"2007";
"Improving learning cultures in further education";"0-415-42735-5";"edited by David James and Gert Biesta";"1610374487";"2007";
"Kanusport : Wettkampf & Freizeitsport ; Geschichte, Disziplinen, Technik, Sichern - Retten und Bergen, Materialkunde, Flusskunde, Kanusport und Umwelt, Kanuschulen und Vereine in Deutschland, Österreich, Schweiz ; ein Lehrbuch für den Kanusport";"3902540419";"Franz Zeilner";"525117474";"2007";
"¬La¬ France en ... : chronique politique, économique et sociale. - 2006";"";"";"1333765002";"2007";
"Kompetenzerwerb in der Beratung : Vergleich von angehenden Beratungslehrern und psychologischen Beratern in der Erziehungsberatung";"9783836432603";"Tanja Wunderle";"548696896";"2007";
"¬Die¬ Ethik des Aristoteles und die Ethik des Konfuzius - zwei gegensätzliche Positionen? : über die Unterschiede und Parallelen der großen Ethiken von Europa und Asien";"9783940333391";"Otmar Zeller";"557923387";"2007";
"Welt - Zeit - Gesellschaft. - 1, [Hauptbd.].";"9783141945911";"";"1345998023";"2007";
"Unter der Erde";"9783785546444";"Lydia Hauenschild. Ill. von  Lorenzo Orlandi. Mit vielen lustigen Zeichn. von Kerstin M. Schuld";"529972085";"2007";
"Lastwagen";"9783785548127";"Andreas Piel. Ill. vom Autor und von Ina Panzer";"522228259";"2007";
"Leselöwen-Vulkan-Wissen";"9783785543238";"Rainer Crummenerl. Ill. von Udo Kruse-Schulz";"522221750";"2007";
"L'année de mes 15 ans";"2-081-63150-4";"Marie-Claude Bérot";"1606098721";"2007";
"Tous ensemble : für den schulischen Französischunterricht. - 4, Cahier d'activités, Lehrerausg.. Cahiers d'acitivités, Lehrerausgabe";"9783125239647";"von Wolfgang Froese ...";"1335760970";"2007";
"Lernortkooperation im dualen System der Berufsausbildung : eine Einführung";"9783836653725";"Sven Deitmer";"1609775384";"2007";
"Bewegte Grundschule : Aspekte einer Didaktik der fächerübergreifenden Bewegungserziehung";"9783896652492";"Christina Müller";"1609776984";"2007";
"Qualität in der Lehrer/innenbildung : Publikationen der AHS-Abteilung am Pädagogischen Institut der Stadt Wien";"9783200010369";"hrsg. von: Ingrid Tanzmeister und Silvia Wiesinger";"549498192";"2007";
"Weiße Finsternis";"9783570132708";"Geraldine McCaughrean. Aus dem Engl. von Petra Koob-Pawis";"53822939X";"2007";
"Lernalter : Weiterbildung statt Altersarmut";"978-3-89965-270-3";"Peter Faulstich ... (Hrsg.)";"549992634";"2007";
"Dein Körper : mit über 50 Klappen";"3-7855-6035-4";"Katie Daynes; Colin King. [Aus dem Engl. übers. von Eva Hierteis]";"529973960";"2007";
"Cowboys : von Rindern und Pferden, Lassos und Colts, Rodeos und Ranchs";"978-3-8067-5537-4";"Text von David H. Murdoch. Fotos von Geoff Brightling. [Aus dem Engl. von Manfred Kottmann]";"561535892";"2007";
""Sie" und "Er" interdisziplinär";"3825895688";"Uwe Krebs ... (Hg.)";"520332342";"2007";
